id,Address,City,County,Latitude,Longitude,Postal Code,State Code,State
1,400 Oxford Exchange Blvd,Oxford,Calhoun,33.61,-85.78,36203.0,AL,Alabama
2,2640 Enterprise Dr,Opelika,Lee,32.62,-85.41,36801.0,AL,Alabama
3,1129 S Park St,Carrollton,Carroll,33.56,-85.08,30117.0,GA,Georgia
4,555 Bullsboro Dr,Newnan,Coweta,33.39,-84.76,30265.0,GA,Georgia
5,1591 Bradley Park Dr,Columbus,Muscogee,32.53,-84.97,31904.0,GA,Georgia
6,1209 Peachtree Pkwy N,Peachtree City,Fayette,33.44,-84.59,30269.0,GA,Georgia
7,2576 Berryhill Rd,Montgomery,Montgomery,32.36,-86.16,36117.0,AL,Alabama
8,2950 Chapel Hill Rd,Douglasville,Douglas,33.73,-84.74,30135.0,GA,Georgia
9,2754 Legends Pkwy,Prattville,Elmore,32.46,-86.4,36066.0,AL,Alabama
10,4616 Highway 280,Birmingham,Shelby,33.43,-86.71,35242.0,AL,Alabama
11,107 Pavilion Pkwy,Fayetteville,Fayette,33.48,-84.44,30214.0,GA,Georgia
12,1654 Gadsden Hwy,Birmingham,Jefferson,33.61,-86.64,35235.0,AL,Alabama
13,5220 Jimmy Lee Smith Pkwy,Hiram,Paulding,33.89,-84.74,30141.0,GA,Georgia
14,250 S Colonial Dr,Alabaster,Shelby,33.22,-86.8,35007.0,AL,Alabama
15,3660 Marketplace Blvd,East Point,Fulton,33.66,-84.5,30344.0,GA,Georgia
16,531 Brookwood Village,Homewood,Jefferson,33.47,-86.77,35209.0,AL,Alabama
17,4125 Austell Rd,Austell,Cobb,33.85,-84.6,30106.0,GA,Georgia
18,5561 Grove Blvd,Birmingham,Jefferson,33.36,-86.85,35226.0,AL,Alabama
19,2535 Dallas Hwy SW,Marietta,Cobb,33.94,-84.63,30064.0,GA,Georgia
20,3489 Lowery Pkwy,Fultondale,Jefferson,33.61,-86.81,35068.0,AL,Alabama
21,3378 Cobb Pkwy NW,Acworth,Cobb,34.04,-84.68,30101.0,GA,Georgia
22,1850 Jonesboro Rd,Mcdonough,Henry,33.47,-84.22,30253.0,GA,Georgia
23,375 18th St,Atlanta,Fulton,33.79,-84.4,30363.0,GA,Georgia
24,2201 Cobb Pkwy SE,Smyrna,Cobb,33.9,-84.48,30080.0,GA,Georgia
25,1275 Caroline St NE,Atlanta,Dekalb,33.76,-84.35,30307.0,GA,Georgia
26,4889 Promenade Pkwy,Bessemer,Jefferson,33.33,-86.99,35022.0,AL,Alabama
27,740 Ernest W Barrett Pkwy NW,Kennesaw,Cobb,34.01,-84.57,30144.0,GA,Georgia
28,2539 Piedmont Rd NE,Atlanta,Fulton,33.82,-84.36,30324.0,GA,Georgia
29,100 Cherokee Pl,Cartersville,Bartow,34.17,-84.79,30121.0,GA,Georgia
30,3535 Peachtree Rd NE,Atlanta,Fulton,33.85,-84.36,30326.0,GA,Georgia
31,2400 N Druid Hills Rd NE,Atlanta,Dekalb,33.83,-84.33,30329.0,GA,Georgia
32,5570 Roswell Rd,Sandy Springs,Fulton,33.91,-84.38,30342.0,GA,Georgia
33,1401 Johnson Ferry Rd,Marietta,Cobb,33.99,-84.43,30062.0,GA,Georgia
34,140 Woodstock Square Ave,Woodstock,Cherokee,34.09,-84.55,30189.0,GA,Georgia
35,3040 Shallowford Rd,Marietta,Cobb,34.04,-84.46,30062.0,GA,Georgia
36,100 Perimeter Center Pl,Atlanta,DeKalb,33.93,-84.34,30346.0,GA,Georgia
37,4241 Lavista Rd,Tucker,DeKalb,33.85,-84.25,30084.0,GA,Georgia
38,1135 Woodstock Rd,Roswell,Fulton,34.06,-84.4,30075.0,GA,Georgia
39,3200 Holcomb Bridge Rd,Peachtree Corners,Gwinnett,33.95,-84.23,30092.0,GA,Georgia
40,2195 Hwy 20 SE,Conyers,Rockdale,33.63,-84.02,30013.0,GA,Georgia
41,6000 N Point Pkwy,Alpharetta,Fulton,34.05,-84.29,30022.0,GA,Georgia
42,2022 Cumming Hwy,Canton,Cherokee,34.23,-84.46,30115.0,GA,Georgia
43,5950 State Bridge Rd,Duluth,Fulton,34.01,-84.19,30097.0,GA,Georgia
44,13055 Highway 9 N,Milton,Fulton,34.1,-84.27,30004.0,GA,Georgia
45,1905 Scenic Hwy N,Snellville,Gwinnett,33.87,-84.02,30078.0,GA,Georgia
46,2625 Peachtree Pkwy,Suwanee,Forsyth,34.1,-84.17,30024.0,GA,Georgia
47,875 Lawrenceville Suwanee Rd,Lawrenceville,Gwinnett,33.97,-84.01,30043.0,GA,Georgia
48,1525 Market Place Blvd,Cumming,Forsyth,34.19,-84.13,30041.0,GA,Georgia
49,3205 Woodward Crossing Blvd,Buford,Gwinnett,34.07,-83.98,30519.0,GA,Georgia
50,1901 13th Ave E,Tuscaloosa,Tuscaloosa,33.19,-87.52,35404.0,AL,Alabama
51,2929 Watson Blvd,Warner Robins,Houston,32.62,-83.69,31093.0,GA,Georgia
52,916 Loganville Hwy,Bethlehem,Barrow,33.94,-83.75,30620.0,GA,Georgia
53,5865 Spout Springs Rd,Flowery Branch,Hall,34.18,-83.91,30542.0,GA,Georgia
54,2750 Carl T Jones Dr SE,Huntsville,Madison,34.67,-86.54,35802.0,AL,Alabama
55,1235 Point Mallard Pkwy SE,Decatur,Morgan,34.56,-86.97,35601.0,AL,Alabama
56,514 Shallowford Rd NW,Gainesville,Hall,34.29,-83.85,30504.0,GA,Georgia
57,4601 Montgomery Hwy,Dothan,Houston,31.27,-85.45,36303.0,AL,Alabama
58,6275 University Dr NW,Huntsville,Madison,34.74,-86.68,35806.0,AL,Alabama
59,2721 Dawson Rd,Albany,Dougherty,31.62,-84.22,31707.0,GA,Georgia
